qb_orientation,result_0.0,result_1.0,result_2.0,result_3.0,result_4.0
326.48,0,0,0,1,0
332.82,0,0,1,0,0
322.27,0,0,1,0,0
302.26,0,0,0,0,1
309.51,0,0,1,0,0
147.45,1,0,0,0,0
187.71,1,0,0,0,0
100.96,0,0,0,0,1
173.08,0,0,1,0,0
318.59,0,0,0,0,1
237.03,0,1,0,0,0
257.02,1,0,0,0,0
246.52,0,1,0,0,0
347.88,0,0,0,0,1
335.3,0,0,0,1,0
155.12,0,1,0,0,0
194.77,0,1,0,0,0
142.45,1,0,0,0,0
11.08,0,0,0,1,0
75.57,0,0,0,0,1
24.78,0,0,0,0,1
60.0,0,0,0,1,0
262.89,1,0,0,0,0
279.24,0,1,0,0,0
249.32,1,0,0,0,0
228.97,0,1,0,0,0
15.38,0,0,0,1,0
332.35,0,0,0,1,0
52.79,0,0,1,0,0
115.01,0,0,1,0,0
332.77,0,0,0,0,1
328.26,0,0,0,1,0
246.29,1,0,0,0,0
78.8,0,0,1,0,0
267.05,1,0,0,0,0
224.56,0,0,1,0,0
82.06,0,0,1,0,0
113.71,0,0,0,1,0
113.06,0,0,0,0,1
301.51,0,0,1,0,0
287.45,0,1,0,0,0
344.15,0,0,1,0,0
320.57,0,0,1,0,0
79.56,0,0,0,1,0
87.45,1,0,0,0,0
201.9,1,0,0,0,0
200.95,0,0,0,0,0
358.73,0,0,1,0,0
265.33,1,0,0,0,0
4.82,0,0,0,0,1
160.26,0,1,0,0,0
139.07,1,0,0,0,0
219.97,1,0,0,0,0
205.43,0,1,0,0,0
330.81,0,0,1,0,0
231.22,1,0,0,0,0
348.93,0,0,0,0,1
316.84,0,0,0,1,0
330.85,0,0,1,0,0
336.93,0,0,0,1,0
319.83,0,0,1,0,0
297.65,0,0,1,0,0
330.21,0,0,0,1,0
343.17,0,0,0,0,1
253.27,1,0,0,0,0
312.65,0,0,0,0,1
244.08,1,0,0,0,0
127.59,1,0,0,0,0
76.87,0,1,0,0,0
116.32,0,0,1,0,0
3.18,0,0,0,0,1
107.13,1,0,0,0,0
323.56,0,0,1,0,0
163.33,1,0,0,0,0
24.31,0,0,0,1,0
268.32,0,0,0,1,0
340.47,0,0,0,1,0
99.81,0,1,0,0,0
351.88,0,0,0,1,0
122.1,0,0,1,0,0
346.34,0,0,0,0,1
9.98,0,0,0,1,0
223.14,0,1,0,0,0
243.57,1,0,0,0,0
337.79,0,0,1,0,0
336.76,0,0,0,1,0
78.86,0,0,0,1,0
293.04,0,0,1,0,0
191.24,1,0,0,0,0
351.14,0,0,1,0,0
67.23,0,1,0,0,0
154.19,0,1,0,0,0
219.85,1,0,0,0,0
302.72,0,0,0,1,0
285.01,1,0,0,0,0
358.26,0,0,1,0,0
206.76,0,1,0,0,0
337.51,0,0,0,1,0
331.35,0,0,0,1,0
39.3,0,0,0,1,0
135.37,1,0,0,0,0
207.05,0,1,0,0,0
265.99,0,0,0,0,1
142.2,1,0,0,0,0
38.07,0,0,0,1,0
233.35,1,0,0,0,0
260.62,0,1,0,0,0
225.72,0,1,0,0,0
270.92,1,0,0,0,0
45.15,1,0,0,0,0
87.53,0,0,1,0,0
86.27,0,0,0,1,0
338.12,0,0,0,1,0
327.59,0,1,0,0,0
249.36,0,0,1,0,0
311.24,0,0,0,1,0
241.06,0,1,0,0,0
74.63,0,0,1,0,0
155.41,0,1,0,0,0
73.34,0,0,1,0,0
166.08,0,0,1,0,0
85.69,1,0,0,0,0
47.76,0,0,1,0,0
27.61,0,0,0,0,1
56.7,0,0,0,1,0
99.93,0,0,1,0,0
242.04,0,0,1,0,0
255.33,0,0,1,0,0
216.01,0,0,1,0,0
209.03,1,0,0,0,0
141.29,1,0,0,0,0
7.76,0,0,1,0,0
168.36,1,0,0,0,0
251.07,1,0,0,0,0
226.86,1,0,0,0,0
55.1,0,0,0,1,0
328.74,0,0,0,1,0
186.8,1,0,0,0,0
280.05,0,0,0,0,0
22.42,0,0,1,0,0
17.77,0,0,1,0,0
43.33,0,1,0,0,0
162.39,1,0,0,0,0
237.54,0,1,0,0,0
29.58,0,0,0,1,0
229.74,0,1,0,0,0
270.57,0,1,0,0,0
137.2,1,0,0,0,0
286.48,0,0,0,0,0
293.58,0,0,0,0,1
85.83,1,0,0,0,0
140.36,0,1,0,0,0
21.34,0,0,1,0,0
300.44,0,0,1,0,0
221.51,0,1,0,0,0
286.36,1,0,0,0,0
282.45,0,1,0,0,0
201.54,1,0,0,0,0
20.79,1,0,0,0,0
351.53,0,0,1,0,0
68.27,0,0,0,0,0
155.11,0,1,0,0,0
228.77,0,1,0,0,0
149.04,0,0,1,0,0
20.49,0,0,1,0,0
159.72,0,1,0,0,0
346.81,0,0,1,0,0
0.17,0,0,0,0,1
33.94,0,0,1,0,0
144.45,0,1,0,0,0
260.18,0,0,1,0,0
42.65,0,0,1,0,0
221.36,0,1,0,0,0
247.42,0,1,0,0,0
189.61,0,1,0,0,0
24.34,0,0,1,0,0
23.12,0,0,1,0,0
156.85,0,1,0,0,0
263.05,0,1,0,0,0
148.89,0,1,0,0,0
266.46,0,0,1,0,0
97.74,0,0,1,0,0
102.11,0,0,0,1,0
321.08,0,0,0,1,0
249.89,1,0,0,0,0
323.34,0,1,0,0,0
59.91,0,0,0,1,0
273.37,0,0,1,0,0
97.28,0,0,1,0,0
233.48,0,0,1,0,0
127.06,1,0,0,0,0
76.08,0,0,0,1,0
343.11,0,0,0,0,0
217.74,0,1,0,0,0
313.1,0,0,0,0,1
165.87,0,1,0,0,0
125.13,1,0,0,0,0
356.23,0,0,0,0,1
292.51,0,0,0,1,0
219.52,1,0,0,0,0
214.1,1,0,0,0,0
275.29,1,0,0,0,0
121.18,0,1,0,0,0
140.19,1,0,0,0,0
149.4,1,0,0,0,0
