x_0,y_0,vel_0,accel_0,orientation_0,dist_qb_0,receiver_type_0_WR,receiver_type_0_TE,receiver_type_0_QB,receiver_type_0_RB,receiver_type_0_FB,defensor_x_0_0,defensor_y_0_0,defensor_vel_0_0,defensor_accel_0_0,defensor_orientation_0_0,defensor_x_0_1,defensor_y_0_1,defensor_vel_0_1,defensor_accel_0_1,defensor_orientation_0_1,x_1,y_1,vel_1,accel_1,orientation_1,dist_qb_1,receiver_type_1_WR,receiver_type_1_TE,receiver_type_1_QB,receiver_type_1_RB,receiver_type_1_FB,defensor_x_1_0,defensor_y_1_0,defensor_vel_1_0,defensor_accel_1_0,defensor_orientation_1_0,defensor_x_1_1,defensor_y_1_1,defensor_vel_1_1,defensor_accel_1_1,defensor_orientation_1_1,x_2,y_2,vel_2,accel_2,orientation_2,dist_qb_2,receiver_type_2_WR,receiver_type_2_TE,receiver_type_2_QB,receiver_type_2_RB,receiver_type_2_FB,defensor_x_2_0,defensor_y_2_0,defensor_vel_2_0,defensor_accel_2_0,defensor_orientation_2_0,defensor_x_2_1,defensor_y_2_1,defensor_vel_2_1,defensor_accel_2_1,defensor_orientation_2_1,x_3,y_3,vel_3,accel_3,orientation_3,dist_qb_3,receiver_type_3_WR,receiver_type_3_TE,receiver_type_3_QB,receiver_type_3_RB,receiver_type_3_FB,defensor_x_3_0,defensor_y_3_0,defensor_vel_3_0,defensor_accel_3_0,defensor_orientation_3_0,defensor_x_3_1,defensor_y_3_1,defensor_vel_3_1,defensor_accel_3_1,defensor_orientation_3_1,x_4,y_4,vel_4,accel_4,orientation_4,dist_qb_4,receiver_type_4_WR,receiver_type_4_TE,receiver_type_4_QB,receiver_type_4_RB,receiver_type_4_FB,defensor_x_4_0,defensor_y_4_0,defensor_vel_4_0,defensor_accel_4_0,defensor_orientation_4_0,defensor_x_4_1,defensor_y_4_1,defensor_vel_4_1,defensor_accel_4_1,defensor_orientation_4_1,qb_x,qb_y,qb_orientation,qb_speed,qb_direction,qb_accel,amount_of_players_causing_pressure_on_qb,result
105.0,18.14,0.27,0.43,85.02,8.78660912980656,1,0,0,0,0,108.57,17.34,0.05,0.31,311.04,108.57,17.34,0.05,0.2,312.9,102.34,23.48,7.15,1.39,341.34,4.032282232185634,1,0,0,0,0,100.98,25.35,1.38,0.29,213.16,100.91,25.46,1.34,0.7,217.97,99.46,26.73,0.06,0.22,72.82,5.003238950919694,0,0,0,1,0,100.61,26.08,0.47,1.36,258.8,100.64,26.12,0.52,1.4,261.51,104.84,30.78,0.59,1.07,120.85,3.888611577414234,0,1,0,0,0,103.56,28.58,1.92,0.24,14.22,103.73,28.48,1.91,0.12,359.04,104.21,35.48,0.12,0.22,291.7,8.573645665643054,1,0,0,0,0,109.3,36.21,0.31,0.5,194.6,109.34,36.21,0.37,0.42,194.6,104.46,26.91,114.14,0.71,257.83,1.17,1.0,1
105.03,18.16,0.38,0.83,85.87,8.764137150912234,1,0,0,0,0,108.57,17.34,0.05,0.31,311.04,108.57,17.34,0.05,0.2,312.9,102.31,24.21,7.32,1.21,343.89,3.394259860411392,1,0,0,0,0,100.98,25.35,1.38,0.29,213.16,100.91,25.46,1.34,0.7,217.97,99.48,26.75,0.31,0.98,64.67,4.902295380737468,0,0,0,1,0,100.61,26.08,0.47,1.36,258.8,100.64,26.12,0.52,1.4,261.51,104.82,30.72,0.76,1.66,118.74,3.845256818471297,0,1,0,0,0,103.56,28.58,1.92,0.24,14.22,103.73,28.48,1.91,0.12,359.04,104.25,35.46,0.3,0.67,290.85,8.560987092619637,1,0,0,0,0,109.3,36.21,0.31,0.5,194.6,109.34,36.21,0.37,0.42,194.6,104.38,26.9,134.43,0.94,265.52,1.47,1.0,1
105.07,18.18,0.6,1.41,84.63,8.746662220527327,1,0,0,0,0,108.57,17.34,0.05,0.31,311.04,108.57,17.34,0.05,0.2,312.9,102.3,24.96,7.48,1.38,347.81,2.7578614903580627,1,0,0,0,0,102.45,26.11,1.88,0.32,259.92,102.25,26.12,1.93,0.37,266.67,99.5,26.79,0.5,1.33,59.79,4.7710481028805365,0,0,0,1,0,100.61,26.08,0.47,1.36,258.8,100.64,26.12,0.52,1.4,261.51,104.8,30.64,0.94,1.91,117.59,3.7872681447185648,0,1,0,0,0,103.56,28.58,1.92,0.24,14.22,103.73,28.48,1.91,0.12,359.04,104.3,35.44,0.57,1.29,295.21,8.550052631416952,1,0,0,0,0,109.3,36.21,0.31,0.5,194.6,109.34,36.21,0.37,0.42,194.6,104.27,26.89,148.19,1.23,268.32,1.83,1.0,1
105.15,18.21,0.88,1.76,79.87,8.739725396143749,1,0,0,0,0,108.57,17.34,0.05,0.31,311.04,108.57,17.34,0.05,0.2,312.9,102.32,25.72,7.64,1.64,353.93,2.155226206225233,1,0,0,0,0,102.25,26.12,1.93,0.37,266.67,102.45,26.11,1.88,0.32,259.92,99.54,26.83,0.72,1.73,57.52,4.590392140111768,0,0,0,1,0,100.61,26.08,0.47,1.36,258.8,100.64,26.12,0.52,1.4,261.51,104.8,30.53,1.25,2.5,114.67,3.701148470407531,0,1,0,0,0,103.56,28.58,1.92,0.24,14.22,103.73,28.48,1.91,0.12,359.04,104.37,35.42,0.8,1.57,300.9,8.53337565093674,1,0,0,0,0,109.3,36.21,0.31,0.5,194.6,109.34,36.21,0.37,0.42,194.6,104.13,26.89,164.11,1.51,270.7,1.98,1.0,1
105.25,18.23,1.16,1.85,83.19,8.757031460489337,1,0,0,0,0,108.57,17.34,0.05,0.31,311.04,108.57,17.34,0.05,0.2,312.9,102.35,26.5,7.76,1.78,356.35,1.6468454693747157,1,0,0,0,0,102.25,26.12,1.93,0.37,266.67,102.45,26.11,1.88,0.32,259.92,99.6,26.9,1.01,2.09,57.52,4.350011494237696,0,0,0,1,0,100.64,26.12,0.52,1.4,261.51,100.61,26.08,0.47,1.36,258.8,104.82,30.4,1.77,3.34,121.64,3.616213489272995,0,1,0,0,0,103.73,28.48,1.91,0.12,359.04,103.56,28.58,1.92,0.24,14.22,104.48,35.38,1.19,2.08,300.9,8.506526905852942,1,0,0,0,0,109.3,36.21,0.31,0.5,194.6,109.34,36.21,0.37,0.42,194.6,103.95,26.89,181.28,1.85,272.33,2.18,1.0,1
105.41,18.28,1.67,2.61,78.65,8.778382538941894,1,0,0,0,0,108.57,17.34,0.05,0.31,311.04,108.57,17.34,0.05,0.2,312.9,99.69,26.98,1.44,2.82,56.79,4.0607881008493925,0,0,0,1,0,100.64,26.12,0.52,1.4,261.51,100.61,26.08,0.47,1.36,258.8,102.42,27.28,7.85,1.91,358.63,1.3832208789632976,1,0,0,0,0,102.51,27.28,1.11,0.31,184.12,102.52,27.4,1.07,0.31,178.35,104.87,30.21,2.22,3.37,127.1,3.4943525866746796,0,1,0,0,0,103.9,28.38,1.82,0.42,338.37,103.73,28.48,1.91,0.12,359.04,104.65,35.33,1.73,3.05,297.95,8.477906581226287,1,0,0,0,0,109.3,36.21,0.31,0.5,194.6,109.34,36.21,0.37,0.42,194.6,103.75,26.9,200.54,2.17,273.23,2.25,1.0,1
105.59,18.32,2.03,2.72,66.25,8.847960216908755,1,0,0,0,0,108.57,17.34,0.05,0.31,311.04,108.57,17.34,0.05,0.2,312.9,99.81,27.08,1.79,3.01,53.73,3.70345784369149,0,0,0,1,0,100.64,26.12,0.52,1.4,261.51,100.69,26.15,0.66,1.41,267.09,102.51,28.07,7.94,2.4,2.0,1.523975065412816,1,0,0,0,0,102.49,28.04,0.99,0.25,163.58,102.48,28.15,0.94,0.29,165.53,104.94,29.98,2.64,3.14,132.96,3.3776471100456855,0,1,0,0,0,103.9,28.38,1.82,0.42,338.37,104.08,28.27,1.6,0.74,319.01,104.84,35.26,2.22,3.57,310.73,8.445383354235611,1,0,0,0,0,109.3,36.21,0.31,0.5,194.6,109.34,36.21,0.37,0.42,194.6,103.51,26.92,225.4,2.53,274.55,2.48,1.0,1
105.81,18.38,2.44,2.73,52.99,8.93747727269838,1,0,0,0,0,108.57,17.34,0.05,0.31,311.04,108.57,17.34,0.05,0.2,312.9,99.96,27.21,2.11,2.83,50.16,3.291094043019738,0,0,0,1,0,100.64,26.12,0.52,1.4,261.51,100.69,26.15,0.66,1.41,267.09,102.63,28.87,8.11,2.64,12.37,2.0241047403728887,1,0,0,0,0,102.64,28.82,0.75,2.25,193.42,102.58,28.79,0.65,1.87,191.67,105.02,29.71,3.04,2.89,138.04,3.29261294415241,0,1,0,0,0,104.08,28.27,1.6,0.74,319.01,104.22,28.17,1.5,0.95,300.23,105.08,35.19,2.64,3.44,306.86,8.452697794195647,1,0,0,0,0,109.3,36.21,0.31,0.5,194.6,109.34,36.21,0.37,0.42,194.6,103.24,26.94,243.48,2.87,275.29,2.46,1.0,1
106.09,18.45,2.87,2.86,41.79,9.087133761533389,1,0,0,0,0,108.57,17.34,0.05,0.31,311.04,108.57,17.34,0.05,0.2,312.9,100.14,27.36,2.56,2.98,47.91,2.8171261952564417,0,0,0,1,0,100.69,26.15,0.66,1.41,267.09,100.64,26.12,0.52,1.4,261.51,105.12,29.39,3.49,2.86,150.77,3.2638167840735175,0,1,0,0,0,105.31,27.92,1.34,0.94,258.0,105.44,27.94,1.42,0.8,258.73,102.79,29.67,8.19,2.7,16.59,2.7036271932350466,1,0,0,0,0,102.82,28.84,1.14,2.12,195.54,102.72,28.84,0.94,2.27,194.65,105.36,35.08,3.13,3.33,307.7,8.466227022706157,1,0,0,0,0,109.3,36.21,0.31,0.5,194.6,109.34,36.21,0.37,0.42,194.6,102.93,26.97,261.19,3.21,276.41,2.4,1.0,1
106.43,18.55,3.51,3.3,31.32,9.303945399667823,1,0,0,0,0,108.57,17.34,0.05,0.31,311.04,108.57,17.34,0.05,0.2,312.9,100.35,27.53,2.92,2.8,52.87,2.2875751353780753,0,0,0,1,0,100.75,26.17,0.83,1.39,269.32,100.69,26.15,0.66,1.41,267.09,105.21,29.04,3.79,2.53,160.84,3.3162177250596763,0,1,0,0,0,105.44,27.94,1.42,0.8,258.73,105.31,27.92,1.34,0.94,258.0,102.99,30.47,8.31,2.75,19.21,3.4742769031843146,1,0,0,0,0,102.82,28.84,1.14,2.12,195.54,102.94,28.83,1.42,1.76,188.37,105.7,34.95,3.72,3.72,311.76,8.521695840617646,1,0,0,0,0,109.3,36.21,0.31,0.5,194.6,109.34,36.21,0.37,0.42,194.6,102.58,27.02,281.91,3.52,277.64,2.23,1.0,1
