x_0,y_0,vel_0,accel_0,orientation_0,dist_qb_0,receiver_type_0_WR,receiver_type_0_TE,receiver_type_0_QB,receiver_type_0_RB,receiver_type_0_FB,defensor_x_0_0,defensor_y_0_0,defensor_vel_0_0,defensor_accel_0_0,defensor_orientation_0_0,defensor_x_0_1,defensor_y_0_1,defensor_vel_0_1,defensor_accel_0_1,defensor_orientation_0_1,x_1,y_1,vel_1,accel_1,orientation_1,dist_qb_1,receiver_type_1_WR,receiver_type_1_TE,receiver_type_1_QB,receiver_type_1_RB,receiver_type_1_FB,defensor_x_1_0,defensor_y_1_0,defensor_vel_1_0,defensor_accel_1_0,defensor_orientation_1_0,defensor_x_1_1,defensor_y_1_1,defensor_vel_1_1,defensor_accel_1_1,defensor_orientation_1_1,x_2,y_2,vel_2,accel_2,orientation_2,dist_qb_2,receiver_type_2_WR,receiver_type_2_TE,receiver_type_2_QB,receiver_type_2_RB,receiver_type_2_FB,defensor_x_2_0,defensor_y_2_0,defensor_vel_2_0,defensor_accel_2_0,defensor_orientation_2_0,defensor_x_2_1,defensor_y_2_1,defensor_vel_2_1,defensor_accel_2_1,defensor_orientation_2_1,x_3,y_3,vel_3,accel_3,orientation_3,dist_qb_3,receiver_type_3_WR,receiver_type_3_TE,receiver_type_3_QB,receiver_type_3_RB,receiver_type_3_FB,defensor_x_3_0,defensor_y_3_0,defensor_vel_3_0,defensor_accel_3_0,defensor_orientation_3_0,defensor_x_3_1,defensor_y_3_1,defensor_vel_3_1,defensor_accel_3_1,defensor_orientation_3_1,receiver_type_4_WR,receiver_type_4_TE,receiver_type_4_QB,receiver_type_4_RB,receiver_type_4_FB,qb_x,qb_y,qb_orientation,qb_speed,qb_direction,qb_accel,amount_of_players_causing_pressure_on_qb,result
70.83,10.06,0.27,0.64,74.49,20.508859061391007,1,0,0,0,0,72.88,10.06,0.05,0.24,268.44,72.88,10.07,0.08,0.17,264.89,70.35,18.76,0.55,1.11,81.99,11.969314934447999,1,0,0,0,0,74.93,18.37,3.87,0.72,208.37,74.9,17.98,3.85,0.71,205.16,70.85,34.9,0.4,0.69,134.61,6.3820451267599125,0,1,0,0,0,70.97,34.51,1.16,0.62,63.94,71.08,34.56,1.16,0.51,63.94,70.17,39.38,0.66,1.51,80.44,9.911412613749873,1,0,0,0,0,70.58,35.85,3.16,1.72,75.54,70.25,35.82,3.28,1.64,73.43,0,0,0,0,0,66.61,30.13,100.09,0.45,286.45,0.78,1.0,1
70.86,10.06,0.41,0.86,74.49,20.54502616206657,1,0,0,0,0,72.88,10.06,0.05,0.24,268.44,72.88,10.07,0.08,0.17,264.89,70.43,18.74,0.96,1.95,94.74,12.048443882925298,1,0,0,0,0,74.93,18.37,3.87,0.72,208.37,74.9,17.98,3.85,0.71,205.16,70.89,34.88,0.53,0.84,128.37,6.412628166360499,0,1,0,0,0,71.08,34.56,1.16,0.51,63.94,70.97,34.51,1.16,0.62,63.94,70.25,39.35,0.97,1.9,79.81,9.91242150031969,1,0,0,0,0,70.58,35.85,3.16,1.72,75.54,70.25,35.82,3.28,1.64,73.43,0,0,0,0,0,66.56,30.15,97.98,0.56,287.36,0.83,1.0,1
70.92,10.05,0.64,1.35,77.63,20.594312321609575,1,0,0,0,0,72.88,10.05,0.07,0.28,272.32,72.88,10.05,0.07,0.23,274.51,70.56,18.7,1.36,2.44,97.65,12.164620832561942,1,0,0,0,0,74.93,18.37,3.87,0.72,208.37,74.9,17.98,3.85,0.71,205.16,70.96,34.86,0.74,1.24,123.93,6.493104034281285,0,1,0,0,0,71.08,34.56,1.16,0.51,63.94,71.19,34.6,1.1,0.55,64.64,70.37,39.3,1.34,2.23,79.81,9.93336297534727,1,0,0,0,0,70.58,35.85,3.16,1.72,75.54,70.9,35.88,3.11,1.59,77.45,0,0,0,0,0,66.48,30.16,107.77,0.79,283.21,1.14,1.0,1
70.99,10.04,0.81,1.54,79.12,20.658644679649242,1,0,0,0,0,72.88,10.05,0.07,0.28,272.32,72.88,10.05,0.07,0.23,274.51,70.73,18.65,1.91,3.1,97.65,12.319760549621087,1,0,0,0,0,74.93,18.37,3.87,0.72,208.37,74.9,17.98,3.85,0.71,205.16,71.04,34.83,0.93,1.49,121.25,6.576093065034895,0,1,0,0,0,71.08,34.56,1.16,0.51,63.94,71.19,34.6,1.1,0.55,64.64,70.51,39.23,1.73,2.46,87.63,9.94368643914318,1,0,0,0,0,70.9,35.88,3.11,1.59,77.45,70.58,35.85,3.16,1.72,75.54,0,0,0,0,0,66.39,30.18,113.27,1.01,281.23,1.49,1.0,1
71.08,10.02,1.03,1.71,80.79,20.75273716886522,1,0,0,0,0,72.88,10.05,0.07,0.28,272.32,72.88,10.05,0.07,0.23,274.51,70.97,18.57,2.56,3.82,91.76,12.549330659441562,1,0,0,0,0,74.93,18.37,3.87,0.72,208.37,74.9,17.98,3.85,0.71,205.16,71.14,34.81,1.14,1.74,112.07,6.691756122274631,0,1,0,0,0,71.19,34.6,1.1,0.55,64.64,71.08,34.56,1.16,0.51,63.94,70.69,39.12,2.16,2.8,87.63,9.941639703791317,1,0,0,0,0,70.9,35.88,3.11,1.59,77.45,71.21,35.91,3.01,1.57,76.42,0,0,0,0,0,66.28,30.21,117.29,1.19,280.43,1.5,1.0,1
71.2,9.99,1.29,1.9,83.63,20.860491365257914,1,0,0,0,0,72.88,10.05,0.07,0.28,272.32,72.88,10.05,0.07,0.23,274.51,71.25,18.49,3.16,4.25,105.94,12.799906249656674,1,0,0,0,0,74.93,18.37,3.87,0.72,208.37,74.9,17.98,3.85,0.71,205.16,71.27,34.78,1.43,2.1,95.24,6.849591228679264,0,1,0,0,0,71.19,34.6,1.1,0.55,64.64,71.08,34.56,1.16,0.51,63.94,70.89,38.98,2.54,2.81,91.81,9.95138683802413,1,0,0,0,0,71.21,35.91,3.01,1.57,76.42,70.9,35.88,3.11,1.59,77.45,0,0,0,0,0,66.15,30.23,122.22,1.37,281.19,1.37,1.0,1
71.33,9.94,1.6,2.24,89.07,21.00741059721545,1,0,0,0,0,72.88,10.05,0.07,0.28,272.32,72.88,10.05,0.07,0.23,274.51,71.59,18.38,3.74,4.62,107.79,13.129451626020034,1,0,0,0,0,74.9,17.98,3.85,0.71,205.16,74.93,18.37,3.87,0.72,208.37,71.42,34.75,1.77,2.43,84.62,7.038217103784168,0,1,0,0,0,71.19,34.6,1.1,0.55,64.64,71.08,34.56,1.16,0.51,63.94,71.1,38.8,2.91,2.84,98.39,9.946939227722257,1,0,0,0,0,71.52,35.94,2.9,1.58,75.02,71.21,35.91,3.01,1.57,76.42,0,0,0,0,0,66.0,30.26,131.63,1.6,280.69,1.42,1.0,1
71.49,9.87,1.89,2.39,89.07,21.192576530474064,1,0,0,0,0,72.88,10.05,0.07,0.28,272.32,72.88,10.05,0.07,0.23,274.51,71.98,18.26,4.34,4.49,109.03,13.515417122678828,1,0,0,0,0,74.9,17.98,3.85,0.71,205.16,74.93,18.37,3.87,0.72,208.37,71.61,34.71,2.12,2.72,82.1,7.284263861228538,0,1,0,0,0,71.19,34.6,1.1,0.55,64.64,71.08,34.56,1.16,0.51,63.94,71.32,38.57,3.29,2.97,105.48,9.940241445759757,1,0,0,0,0,71.52,35.94,2.9,1.58,75.02,71.81,35.96,2.82,1.51,73.68,0,0,0,0,0,65.82,30.29,141.61,1.83,279.38,1.56,1.0,1
71.67,9.78,2.2,2.45,89.07,21.40965202893312,1,0,0,0,0,72.88,10.05,0.07,0.28,272.32,72.88,10.05,0.07,0.23,274.51,72.43,18.11,4.91,4.18,112.27,13.975839867428368,1,0,0,0,0,74.9,17.98,3.85,0.71,205.16,74.86,17.6,3.84,0.64,205.16,71.84,34.67,2.45,2.77,75.57,7.581991822733661,0,1,0,0,0,71.19,34.6,1.1,0.55,64.64,71.08,34.56,1.16,0.51,63.94,71.54,38.29,3.68,3.42,115.27,9.92214694509208,1,0,0,0,0,71.81,35.96,2.82,1.51,73.68,71.52,35.94,2.9,1.58,75.02,0,0,0,0,0,65.63,30.32,151.41,2.0,279.54,1.43,1.0,1
71.88,9.66,2.53,2.41,90.22,21.684593609288598,1,0,0,0,0,72.88,10.05,0.07,0.28,272.32,72.88,10.05,0.07,0.23,274.51,72.93,17.96,5.42,3.81,117.0,14.496899668549826,1,0,0,0,0,74.86,17.6,3.84,0.64,205.16,74.9,17.98,3.85,0.71,205.16,72.1,34.63,2.81,2.63,72.25,7.928133449936367,0,1,0,0,0,71.19,34.6,1.1,0.55,64.64,71.08,34.56,1.16,0.51,63.94,71.77,37.98,4.02,3.41,124.08,9.919017088401445,1,0,0,0,0,71.81,35.96,2.82,1.51,73.68,72.1,35.98,2.76,1.25,73.68,0,0,0,0,0,65.42,30.36,161.38,2.25,279.59,1.5,1.0,1
