x_0,y_0,vel_0,accel_0,orientation_0,dist_qb_0,receiver_type_0,route_ran_0,defensor_x_0_0,defensor_y_0_0,defensor_vel_0_0,defensor_accel_0_0,defensor_orientation_0_0,defensor_x_0_1,defensor_y_0_1,defensor_vel_0_1,defensor_accel_0_1,defensor_orientation_0_1,x_1,y_1,vel_1,accel_1,orientation_1,dist_qb_1,receiver_type_1,route_ran_1,defensor_x_1_0,defensor_y_1_0,defensor_vel_1_0,defensor_accel_1_0,defensor_orientation_1_0,defensor_x_1_1,defensor_y_1_1,defensor_vel_1_1,defensor_accel_1_1,defensor_orientation_1_1,x_2,y_2,vel_2,accel_2,orientation_2,dist_qb_2,receiver_type_2,route_ran_2,defensor_x_2_0,defensor_y_2_0,defensor_vel_2_0,defensor_accel_2_0,defensor_orientation_2_0,defensor_x_2_1,defensor_y_2_1,defensor_vel_2_1,defensor_accel_2_1,defensor_orientation_2_1,x_3,y_3,vel_3,accel_3,orientation_3,dist_qb_3,receiver_type_3,route_ran_3,defensor_x_3_0,defensor_y_3_0,defensor_vel_3_0,defensor_accel_3_0,defensor_orientation_3_0,defensor_x_3_1,defensor_y_3_1,defensor_vel_3_1,defensor_accel_3_1,defensor_orientation_3_1,x_4,y_4,vel_4,accel_4,orientation_4,dist_qb_4,receiver_type_4,route_ran_4,defensor_x_4_0,defensor_y_4_0,defensor_vel_4_0,defensor_accel_4_0,defensor_orientation_4_0,defensor_x_4_1,defensor_y_4_1,defensor_vel_4_1,defensor_accel_4_1,defensor_orientation_4_1,qb_x,qb_y,qb_orientation,qb_speed,qb_direction,qb_accel,amount_of_players_causing_pressure_on_qb,yardsToGo,down,yardLine,result
39.05,12.669999999999995,5.37,4.49,319.71000000000004,14.6401673487703,WR,IN,40.61,12.89,1.07,0.34,325.48,40.599999999999994,13.0,1.08,0.29,323.99,41.56999999999999,19.739999999999995,6.07,3.97,42.25,13.005614172348793,TE,IN,41.34,19.43,1.1,3.17,296.19,41.260000000000005,19.479999999999997,0.93,2.68,293.15,41.31999999999999,34.16,6.1,3.61,55.65999999999997,16.289582560642852,WR,OUT,40.56999999999999,34.209999999999994,2.4,0.86,187.64,40.59,33.97,2.46,0.85,185.15,42.58,45.709999999999994,7.5,0.69,86.51999999999998,26.07136743632753,WR,GO,42.67,44.53,0.09,0.32,221.09,42.69,44.53,0.18,0.75,219.02,,,,,,,,,,,,,,,,,,,29.090000000000003,23.4,146.48000000000002,0.7,120.54000000000002,0.59,0,10,1,25,6
67.64,12.54,6.78,3.65,95.5,24.02131137136355,WR,GO,67.19,12.939999999999998,6.87,1.43,228.36,66.95,12.299999999999997,6.75,1.52,230.53,50.239999999999995,17.949999999999996,2.98,2.47,14.569999999999993,6.2126403404671615,RB,FLAT,51.239999999999995,18.089999999999996,4.92,3.77,177.86,49.370000000000005,17.379999999999995,4.29,2.74,175.80999999999995,64.50999999999999,31.129999999999995,7.48,2.4,121.32,20.97736875778274,WR,POST,64.91,30.139999999999997,1.01,0.36,232.47,65.0,30.179999999999996,1.01,0.27,235.63,66.9,40.55,8.08,2.13,78.88,28.20685200443325,WR,GO,66.81,41.379999999999995,4.14,1.53,205.9,67.25,41.39,4.4,1.64,195.72,,,,,,,,,,,,,,,,,,,45.59,22.069999999999997,152.81999999999994,3.42,226.32,1.24,1,3,2,45,6
67.17,9.439999999999998,6.55,1.17,98.49000000000001,22.4990355348846,TE,GO,68.08,10.649999999999999,2.68,1.35,284.67,68.3,10.479999999999997,2.83,1.31,288.59000000000003,60.66,10.489999999999995,0.96,1.04,318.27,19.15805835673334,RB,SCREEN,66.5,12.439999999999998,0.47,0.74,11.259999999999991,66.49000000000001,12.479999999999997,0.57,0.78,358.39,65.8,22.499999999999996,4.91,2.42,291.56,11.579848876388672,WR,SLANT,65.21000000000001,21.539999999999996,3.66,1.48,264.14,64.94,21.769999999999996,3.55,1.88,262.95,65.03999999999999,39.26,4.15,2.78,197.82999999999998,13.351048647952709,WR,HITCH,69.87,40.04,2.28,3.36,251.63,69.91,39.79,2.7,3.26,247.7,68.42,41.089999999999996,6.06,2.13,121.42000000000002,16.99922351167841,WR,IN,69.87,40.68,0.84,2.77,254.9,69.9,40.75,0.63,2.36,256.89,56.32,29.15,142.26999999999998,0.56,210.3,0.77,0,8,2,47,12
80.00999999999999,12.209999999999994,8.08,0.87,256.44,10.005683384956752,RB,ANGLE,79.44,12.75,5.01,1.87,324.63,79.15,12.349999999999994,4.68,2.04,315.40999999999997,87.96000000000001,14.449999999999996,4.63,1.65,175.66000000000008,18.15719141277086,TE,IN,88.96000000000001,15.709999999999994,4.18,2.94,157.44000000000005,88.76,16.089999999999996,4.47,2.97,157.44000000000005,83.49000000000001,25.849999999999998,7.33,1.27,195.54,19.572452580093277,WR,IN,83.9,25.819999999999997,0.24,0.23,272.96,83.9,25.799999999999997,0.22,0.18,271.94,84.92,29.389999999999997,2.14,3.35,158.21000000000004,23.167166421468114,WR,CROSS,85.34,29.619999999999997,2.91,0.33,318.36,85.41,29.339999999999996,2.87,0.51,312.97,86.96000000000001,43.79,1.19,1.29,223.5,36.331022556487454,WR,OUT,86.67,43.16,1.29,2.28,268.05,86.55,43.22,1.5,2.01,272.85,70.02000000000001,11.649999999999999,122.25999999999999,7.6,158.78999999999996,1.54,0,9,2,34,8
89.49,17.25,6.7,2.43,176.91000000000008,12.573086335502499,WR,CORNER,90.51,17.129999999999995,1.97,0.54,248.76999999999998,90.47,16.919999999999995,2.03,0.67,253.13,84.32,31.129999999999995,3.14,2.09,32.710000000000036,16.636586188277924,FB,OUT,85.95,30.549999999999997,1.29,1.33,266.92,85.9,30.419999999999998,1.39,1.48,277.36,82.67,31.859999999999996,5.0,1.47,67.69,16.65912962912529,RB,FLAT,85.99000000000001,30.669999999999998,1.18,1.22,261.12,85.95,30.549999999999997,1.29,1.33,266.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.96000000000001,16.209999999999994,129.51,6.11,181.74,1.43,0,1,3,26,26
43.62,12.44,7.94,3.37,216.08,24.101373404849774,WR,CORNER,43.76,15.43,3.66,2.43,320.22,43.39,15.46,3.56,2.84,313.04,34.19,22.9,0.72,2.54,262.19,11.282575060685392,WR,HITCH,33.35,22.73,3.2,1.62,329.79,33.34,23.06,3.31,1.09,336.46,44.5,27.19,5.49,4.86,84.48,21.46905913168996,TE,POST,44.22,26.97,4.16,2.74,163.24,44.52,26.67,4.31,2.05,158.31,30.29,42.21,5.35,2.47,293.83,18.5200431964939,RB,OUT,30.3,42.12,2.32,1.18,342.97,30.23,42.34,2.2,1.21,339.68,44.0,45.46,3.51,3.63,304.41,29.13530161161885,WR,HITCH,45.57,45.66,3.77,3.9,297.74,45.49,46.02,3.82,3.02,289.34,23.13,25.13,147.45,5.28,158.97,1.12,1,8,3,19,23
49.0,18.11,2.04,4.31,258.94,7.900544285047711,TE,SCREEN,49.18,17.99,4.16,1.05,325.67,48.8,18.22,4.29,1.37,333.29,60.4,33.88,6.59,1.6,56.12,19.43271725724429,WR,GO,58.84,35.94,2.66,1.82,258.17,59.07,36.1,2.88,1.89,259.39,52.89,36.31,6.42,1.21,8.13,15.400081168617264,RB,FLAT,54.27,39.55,0.07,0.35,249.33,54.27,39.55,0.03,0.37,248.5,59.96,37.55,5.48,2.27,68.46,21.199080168724304,WR,GO,60.32,37.44,4.31,2.13,265.44,60.06,37.11,4.07,2.56,266.78,60.45,42.56,7.09,2.71,97.54,25.037124435525744,WR,GO,60.34,42.07,6.09,0.47,159.73,60.9,42.3,5.97,1.14,161.82,43.69,23.96,187.71,2.05,259.64,0.47,0,9,2,43,10
77.32,13.96,5.0,3.91,137.87,23.483445232759177,TE,HITCH,78.29,13.86,5.0,1.15,6.87,78.18,13.37,4.87,1.4,6.87,64.96,23.71,2.58,3.09,218.11,8.931433255642673,RB,ANGLE,65.11,23.83,1.53,0.77,331.93,65.06,23.96,1.41,1.08,330.13,81.25,33.5,8.2,3.63,28.29,26.996023781290457,WR,CORNER,81.17,34.57,5.05,1.45,224.26,80.69,34.45,4.95,1.46,232.65,75.03,35.41,5.51,2.17,133.74,22.229970760214687,WR,POST,72.73,34.23,5.49,3.73,299.14,72.5,34.75,5.89,3.01,299.14,60.56,44.2,3.57,2.44,154.99,20.828581324708605,WR,CROSS,66.07,47.9,4.92,2.36,277.72,65.82,48.31,4.78,2.93,275.34,56.03,23.87,100.96,1.21,57.23,1.47,0,10,1,47,4
61.03,8.47,4.29,2.25,70.98,23.551460676569512,TE,GO,61.0,8.51,1.0,0.47,279.82,60.92,8.46,0.97,0.5,278.98,58.15,13.25,2.39,1.93,7.81,17.999602773394752,WR,SCREEN,62.8,11.85,3.09,1.02,239.96,62.88,12.15,3.13,1.07,241.94,60.44,20.5,4.65,1.23,57.65,13.349625462910934,WR,GO,60.57,20.61,2.15,0.98,353.45,60.4,20.73,2.01,1.36,347.09,60.2,39.06,2.38,0.45,103.93,13.371480845441168,WR,SCREEN,62.53,39.66,3.21,0.42,0.41,62.45,39.97,3.18,0.56,1.29,57.63,46.78,0.13,0.31,167.41,18.484209477280874,RB,SCREEN,60.87,46.49,0.14,1.73,251.78,60.87,46.48,0.16,1.61,260.62,50.71,29.64,173.08,0.7,246.25,2.91,1,14,3,49,6
28.659999999999997,14.5,6.08,3.72,59.620000000000005,13.786620325518506,WR,IN,29.86,14.729999999999997,1.62,0.21,330.07,29.83,14.89,1.59,0.26,330.07,28.689999999999998,23.509999999999998,6.67,4.23,352.5,10.282144717907837,TE,CROSS,28.810000000000002,23.269999999999996,0.52,0.3,272.75,28.75,23.229999999999997,0.52,0.32,269.38,19.17,31.549999999999997,5.54,0.83,81.25999999999999,7.866797315299282,RB,FLAT,16.510000000000005,23.949999999999996,3.46,3.46,49.08000000000004,26.400000000000006,35.339999999999996,0.09,0.74,242.96,29.939999999999998,35.37,6.97,1.61,100.58999999999997,16.390954822706334,WR,GO,31.090000000000003,35.5,2.96,0.59,326.2,31.040000000000006,35.78999999999999,2.92,0.59,324.18,31.849999999999994,43.089999999999996,7.44,0.61,90.91000000000003,23.5760577705434,WR,GO,32.260000000000005,42.44,0.93,0.39,247.53,32.17,42.39,0.96,0.39,245.38,18.409999999999997,23.72,138.58999999999997,0.32,188.83,1.61,0,4,3,15,10
