x_0,y_0,vel_0,accel_0,orientation_0,dist_qb_0,receiver_type_0_WR,defensor_x_0_0,defensor_y_0_0,defensor_vel_0_0,defensor_accel_0_0,defensor_orientation_0_0,defensor_x_0_1,defensor_y_0_1,defensor_vel_0_1,defensor_accel_0_1,defensor_orientation_0_1,x_1,y_1,vel_1,accel_1,orientation_1,dist_qb_1,receiver_type_1_WR,defensor_x_1_0,defensor_y_1_0,defensor_vel_1_0,defensor_accel_1_0,defensor_orientation_1_0,defensor_x_1_1,defensor_y_1_1,defensor_vel_1_1,defensor_accel_1_1,defensor_orientation_1_1,x_2,y_2,vel_2,accel_2,orientation_2,dist_qb_2,receiver_type_2_TE,receiver_type_2_WR,defensor_x_2_0,defensor_y_2_0,defensor_vel_2_0,defensor_accel_2_0,defensor_orientation_2_0,defensor_x_2_1,defensor_y_2_1,defensor_vel_2_1,defensor_accel_2_1,defensor_orientation_2_1,x_3,y_3,vel_3,accel_3,orientation_3,dist_qb_3,receiver_type_3_TE,receiver_type_3_WR,defensor_x_3_0,defensor_y_3_0,defensor_vel_3_0,defensor_accel_3_0,defensor_orientation_3_0,defensor_x_3_1,defensor_y_3_1,defensor_vel_3_1,defensor_accel_3_1,defensor_orientation_3_1,qb_x,qb_y,qb_orientation,qb_speed,qb_direction,qb_accel,amount_of_players_causing_pressure_on_qb,result
91.08,28.34,2.5,0.51,275.29,0.9904039579888597,1,91.04,27.66,2.16,1.98,273.18,91.26,27.68,2.18,2.12,270.5,92.25,28.42,3.15,3.41,190.94,1.6337074401495535,1,92.26,28.49,2.5,3.51,223.87,92.16,28.28,2.34,3.28,235.38,90.5,29.39,2.02,0.66,249.33,0.3883297567789479,0,1,90.09,27.78,2.44,1.11,290.58,90.34,27.72,2.34,1.41,290.58,90.36,32.54,2.11,0.35,304.86,3.2715898275914723,1,0,90.13,32.33,3.71,1.92,161.9,90.47,32.11,3.79,2.06,153.42,90.88,29.31,17.84,0.18,104.1,0.14,0.0,1
91.06,28.09,2.48,0.59,263.99,1.2490396310766114,1,91.04,27.66,2.16,1.98,273.18,91.26,27.68,2.18,2.12,270.5,92.31,28.09,3.45,2.71,185.72,1.8701871564097567,1,92.16,28.28,2.34,3.28,235.38,92.03,28.08,2.26,3.01,245.89,90.45,29.19,2.09,0.44,244.79,0.48083261120684545,0,1,90.09,27.78,2.44,1.11,290.58,90.34,27.72,2.34,1.41,290.58,90.22,32.7,2.15,0.19,303.77,3.4399127895922055,1,0,90.13,32.33,3.71,1.92,161.9,89.78,32.49,3.69,2.1,159.12,90.91,29.33,18.51,0.17,96.39,0.14,0.0,1
92.37,27.74,3.7,2.1,183.55,2.1533694527414537,1,92.03,28.08,2.26,3.01,245.89,91.88,27.94,2.13,2.92,251.04,91.04,27.84,2.45,0.66,239.05,1.5133076356114794,1,91.04,27.66,2.16,1.98,273.18,91.26,27.68,2.18,2.12,270.5,90.4,28.99,2.13,0.31,239.87,0.6489992295835131,0,1,90.09,27.78,2.44,1.11,290.58,90.34,27.72,2.34,1.41,290.58,90.08,32.86,2.14,0.15,303.77,3.6138206928401946,1,0,89.78,32.49,3.69,2.1,159.12,90.13,32.33,3.71,1.92,161.9,90.94,29.35,15.02,0.17,90.41,0.15,0.0,1
92.41,27.36,3.88,1.59,180.74,2.47735746310459,1,91.88,27.94,2.13,2.92,251.04,92.03,28.08,2.26,3.01,245.89,91.01,27.6,2.38,0.87,231.73,1.7901117283566401,1,91.04,27.66,2.16,1.98,273.18,90.82,27.66,2.16,1.95,275.44,90.35,28.77,2.18,0.15,236.29,0.8910667763978197,0,1,90.09,27.78,2.44,1.11,290.58,90.34,27.72,2.34,1.41,290.58,89.94,33.02,2.14,0.23,303.77,3.7788093362857054,1,0,89.78,32.49,3.69,2.1,159.12,89.42,32.65,3.63,1.98,165.13,90.99,29.39,5.83,0.19,79.93,0.16,0.0,1
92.44,26.97,3.99,1.3,179.22,2.823118842698623,1,91.88,27.94,2.13,2.92,251.04,91.7,27.82,2.1,2.64,256.18,90.97,27.37,2.29,0.97,222.81,2.040612653102003,1,91.04,27.66,2.16,1.98,273.18,90.82,27.66,2.16,1.95,275.44,90.3,28.56,2.21,0.03,235.29,1.113956911195402,0,1,90.09,27.78,2.44,1.11,290.58,90.34,27.72,2.34,1.41,290.58,89.8,33.18,2.09,0.43,303.13,3.962486593037255,1,0,89.42,32.65,3.63,1.98,165.13,89.78,32.49,3.69,2.1,159.12,91.02,29.41,2.84,0.18,75.77,0.16,0.0,1
92.46,26.57,4.07,1.15,179.9,3.211245864146808,1,91.7,27.82,2.1,2.64,256.18,91.88,27.94,2.13,2.92,251.04,90.93,27.15,2.22,1.06,213.46,2.3136551169091755,1,91.04,27.66,2.16,1.98,273.18,90.82,27.66,2.16,1.95,275.44,90.25,28.35,2.19,0.26,232.16,1.3741178988718552,0,1,90.09,27.78,2.44,1.11,290.58,90.34,27.72,2.34,1.41,290.58,89.65,33.32,2.04,0.67,302.15,4.109464685333114,1,0,89.42,32.65,3.63,1.98,165.13,89.06,32.77,3.59,1.94,163.43,91.06,29.46,2.84,0.18,68.99,0.17,0.0,1
92.46,26.16,4.12,1.1,184.64,3.591559549833467,1,91.7,27.82,2.1,2.64,256.18,91.47,27.74,2.17,2.53,265.0,90.88,26.94,2.18,0.88,206.93,2.548666317900403,1,90.82,27.66,2.16,1.95,275.44,91.04,27.66,2.16,1.98,273.18,90.2,28.13,2.21,0.18,226.34,1.6169724796668634,0,1,90.09,27.78,2.44,1.11,290.58,90.34,27.72,2.34,1.41,290.58,89.5,33.46,2.03,0.79,301.41,4.285848807412601,1,0,89.42,32.65,3.63,1.98,165.13,89.06,32.77,3.59,1.94,163.43,91.09,29.48,1.77,0.18,66.12,0.17,0.0,1
92.46,25.74,4.13,1.05,187.91,3.985599076675925,1,91.7,27.82,2.1,2.64,256.18,91.47,27.74,2.17,2.53,265.0,90.83,26.73,2.1,0.86,203.21,2.7741665415039503,1,90.82,27.66,2.16,1.95,275.44,91.04,27.66,2.16,1.98,273.18,90.15,27.91,2.27,0.11,215.49,1.8487833837418548,0,1,90.09,27.78,2.44,1.11,290.58,90.34,27.72,2.34,1.41,290.58,89.34,33.59,2.01,0.68,300.07,4.465747417846202,1,0,89.06,32.77,3.59,1.94,163.43,89.42,32.65,3.63,1.98,165.13,91.11,29.49,352.43,0.19,62.46,0.31,0.0,1
92.43,25.33,4.15,1.2,190.85,4.377487864060854,1,91.47,27.74,2.17,2.53,265.0,91.7,27.82,2.1,2.64,256.18,90.77,26.53,2.03,0.85,201.07,3.0016662039607276,1,90.82,27.66,2.16,1.95,275.44,91.04,27.66,2.16,1.98,273.18,90.09,27.69,2.32,0.17,204.86,2.096187014557619,0,1,90.09,27.78,2.44,1.11,290.58,90.34,27.72,2.34,1.41,290.58,89.19,33.71,1.97,0.69,300.07,4.626402490056392,1,0,89.06,32.77,3.59,1.94,163.43,88.68,32.87,3.51,1.8,166.8,91.13,29.51,333.11,0.24,53.87,0.67,0.0,1
92.39,24.91,4.18,1.28,194.93,4.783513353174631,1,91.47,27.74,2.17,2.53,265.0,91.7,27.82,2.1,2.64,256.18,90.71,26.34,1.99,0.73,200.3,3.2202018570269813,1,90.82,27.66,2.16,1.95,275.44,90.58,27.68,2.28,1.65,283.43,90.03,27.46,2.4,0.3,199.29,2.353571753739412,0,1,90.09,27.78,2.44,1.11,290.58,90.34,27.72,2.34,1.41,290.58,89.03,33.83,1.93,0.7,298.12,4.794204835006531,1,0,88.68,32.87,3.51,1.8,166.8,89.06,32.77,3.59,1.94,163.43,91.15,29.53,316.81,0.29,44.6,0.7,0.0,1
92.33,24.49,4.18,1.32,196.59,5.193505559831435,1,91.47,27.74,2.17,2.53,265.0,91.26,27.68,2.18,2.12,270.5,90.65,26.15,1.96,0.67,197.15,3.438037230746637,1,90.82,27.66,2.16,1.95,275.44,90.58,27.68,2.28,1.65,283.43,89.97,27.22,2.52,0.5,196.4,2.6162950903902265,0,1,90.09,27.78,2.44,1.11,290.58,90.34,27.72,2.34,1.41,290.58,88.88,33.94,1.85,0.82,296.21,4.9467666207331815,1,0,88.88,34.96,5.29,1.05,135.22,89.38,34.84,5.1,1.8,139.13,91.16,29.55,308.3,0.29,39.08,0.42,0.0,1
92.25,24.08,4.21,1.29,196.59,5.585409564212816,1,91.26,27.68,2.18,2.12,270.5,91.47,27.74,2.17,2.53,265.0,90.58,25.97,1.92,0.6,195.99,3.638158875035559,1,90.82,27.66,2.16,1.95,275.44,90.58,27.68,2.28,1.65,283.43,89.9,26.96,2.73,0.94,195.77,2.8935963782117193,0,1,90.09,27.78,2.44,1.11,290.58,90.34,27.72,2.34,1.41,290.58,88.72,34.04,1.8,1.0,292.45,5.106162942954329,1,0,88.88,34.96,5.29,1.05,135.22,89.38,34.84,5.1,1.8,139.13,91.17,29.56,302.64,0.22,31.68,0.3,0.0,1
92.16,23.66,4.23,1.14,198.66,6.0005666399099304,1,88.56,25.54,0.91,2.68,17.6,88.51,25.47,1.09,2.88,13.98,90.51,25.79,1.85,0.68,198.9,3.8487660360172575,1,90.58,27.68,2.28,1.65,283.43,90.82,27.66,2.16,1.95,275.44,89.82,26.69,2.84,0.9,195.77,3.194010018769512,0,1,90.09,27.78,2.44,1.11,290.58,90.34,27.72,2.34,1.41,290.58,88.56,34.12,1.75,1.07,288.66,5.241755431150906,1,0,88.88,34.96,5.29,1.05,135.22,88.36,35.08,5.41,0.21,138.07,91.18,29.58,297.53,0.17,6.33,0.58,0.0,1
