x_0,y_0,vel_0,accel_0,orientation_0,dist_qb_0,receiver_type_0,defensor_x_0_0,defensor_y_0_0,defensor_vel_0_0,defensor_accel_0_0,defensor_orientation_0_0,defensor_x_0_1,defensor_y_0_1,defensor_vel_0_1,defensor_accel_0_1,defensor_orientation_0_1,x_1,y_1,vel_1,accel_1,orientation_1,dist_qb_1,receiver_type_1,defensor_x_1_0,defensor_y_1_0,defensor_vel_1_0,defensor_accel_1_0,defensor_orientation_1_0,defensor_x_1_1,defensor_y_1_1,defensor_vel_1_1,defensor_accel_1_1,defensor_orientation_1_1,x_2,y_2,vel_2,accel_2,orientation_2,dist_qb_2,receiver_type_2,defensor_x_2_0,defensor_y_2_0,defensor_vel_2_0,defensor_accel_2_0,defensor_orientation_2_0,defensor_x_2_1,defensor_y_2_1,defensor_vel_2_1,defensor_accel_2_1,defensor_orientation_2_1,x_3,y_3,vel_3,accel_3,orientation_3,dist_qb_3,receiver_type_3,defensor_x_3_0,defensor_y_3_0,defensor_vel_3_0,defensor_accel_3_0,defensor_orientation_3_0,defensor_x_3_1,defensor_y_3_1,defensor_vel_3_1,defensor_accel_3_1,defensor_orientation_3_1,x_4,y_4,vel_4,accel_4,orientation_4,dist_qb_4,receiver_type_4,defensor_x_4_0,defensor_y_4_0,defensor_vel_4_0,defensor_accel_4_0,defensor_orientation_4_0,defensor_x_4_1,defensor_y_4_1,defensor_vel_4_1,defensor_accel_4_1,defensor_orientation_4_1,qb_x,qb_y,qb_orientation,qb_speed,qb_direction,qb_accel,amount_of_players_causing_pressure_on_qb,result
58.95,10.5,0.01,0.01,277.22,13.929142112851027,WR,51.19,9.97,0.3,4.27,18.36,51.17,10.0,0.69,3.56,25.77,58.04,11.92,0.0,0.0,286.54,12.840144080188507,WR,51.19,9.97,0.3,4.27,18.36,51.17,10.0,0.69,3.56,25.77,59.18,33.19,0.0,0.0,248.23,9.753850521717052,WR,56.26,30.3,0.01,0.01,96.88,56.26,30.3,0.01,0.01,95.83,58.48,41.25,0.0,0.0,262.44,17.703988251238762,TE,53.53,40.69,0.67,1.0,147.29,53.52,40.76,0.61,0.95,160.48,59.94,42.48,0.0,0.0,260.07,18.655575574074362,RB,53.5,40.86,0.47,0.74,191.26,53.51,40.82,0.57,0.78,178.39,62.42,23.99,268.24,0.2,283.91,0.25,0,C
58.93,10.52,0.01,0.01,274.7,13.921953885859557,WR,51.19,9.97,0.3,4.27,18.36,51.17,10.0,0.69,3.56,25.77,58.03,11.92,0.0,0.0,286.54,12.84954473901702,WR,51.19,9.97,0.3,4.27,18.36,51.17,10.0,0.69,3.56,25.77,59.16,33.19,0.0,0.0,251.27,9.747748457977359,WR,56.26,30.3,0.01,0.01,96.88,56.26,30.3,0.01,0.01,95.83,58.47,41.25,0.03,0.54,261.7,17.694239175505682,TE,53.53,40.69,0.67,1.0,147.29,53.52,40.76,0.61,0.95,160.48,59.93,42.49,0.01,0.26,261.14,18.655575574074366,RB,53.5,40.86,0.47,0.74,191.26,53.51,40.82,0.57,0.78,178.39,62.41,24.0,270.41,0.14,287.73,0.75,0,C
58.92,10.52,0.03,0.5,274.7,13.924456901437843,WR,51.19,9.97,0.3,4.27,18.36,51.17,10.0,0.69,3.56,25.77,58.0,11.92,0.03,0.97,287.49,12.859801709202205,WR,51.19,9.97,0.3,4.27,18.36,51.17,10.0,0.69,3.56,25.77,59.13,33.18,0.0,0.0,252.36,9.74837422342823,WR,56.25,30.31,0.05,0.06,109.3,56.25,30.31,0.04,0.05,109.3,58.46,41.25,0.15,1.17,259.57,17.696468574266447,TE,53.53,40.69,0.67,1.0,147.29,53.52,40.76,0.61,0.95,160.48,59.91,42.49,0.12,1.2,260.12,18.65824482634956,RB,53.5,40.86,0.47,0.74,191.26,53.51,40.82,0.57,0.78,178.39,62.41,24.0,271.1,0.03,13.45,1.21,0,C
58.89,10.53,0.19,1.56,275.4,13.924862656414247,WR,51.19,9.97,0.3,4.27,18.36,51.17,10.0,0.69,3.56,25.77,57.98,11.92,0.28,2.99,288.34,12.870120434556936,WR,51.19,9.97,0.3,4.27,18.36,51.17,10.0,0.69,3.56,25.77,59.1,33.19,0.09,2.22,254.63,9.771310045229349,WR,56.24,30.32,0.06,0.07,113.98,56.24,30.32,0.06,0.07,111.79,58.41,41.26,0.48,2.5,257.72,17.719698078691973,TE,53.53,40.69,0.67,1.0,147.29,53.52,40.76,0.61,0.95,160.48,59.88,42.5,0.35,2.02,261.81,18.67355349150236,RB,53.5,40.86,0.47,0.74,191.26,53.51,40.82,0.57,0.78,178.39,62.42,24.0,274.4,0.22,97.43,1.68,0,C
58.84,10.57,0.63,3.26,272.42,13.897068036100274,WR,51.19,9.97,0.3,4.27,18.36,51.17,10.0,0.69,3.56,25.77,57.93,11.92,0.74,4.23,288.34,12.888572457801523,WR,51.19,9.97,0.3,4.27,18.36,51.17,10.0,0.69,3.56,25.77,59.06,33.19,0.54,5.29,251.18,9.80469785358019,WR,56.23,30.33,0.08,0.09,118.35,56.23,30.33,0.07,0.08,115.07,58.33,41.27,0.95,3.66,259.57,17.76436883201878,TE,53.53,40.69,0.67,1.0,147.29,53.52,40.76,0.61,0.95,160.48,59.82,42.5,0.71,2.88,264.86,18.695908643336917,RB,53.5,40.86,0.47,0.74,191.26,53.51,40.82,0.57,0.78,178.39,62.45,23.99,274.4,0.47,99.67,2.03,0,C
58.75,10.61,1.14,4.25,272.42,13.888646442328353,WR,51.19,9.97,0.3,4.27,18.36,51.17,10.0,0.69,3.56,25.77,57.8,11.91,1.45,5.68,283.43,12.956426976601227,WR,51.19,9.97,0.3,4.27,18.36,51.17,10.0,0.69,3.56,25.77,58.96,33.18,1.29,7.01,251.86,9.861161189231213,WR,56.23,30.33,0.08,0.09,118.35,56.23,30.33,0.07,0.08,115.07,58.2,41.29,1.51,5.04,262.82,17.838503300445357,TE,53.53,40.69,0.67,1.0,147.29,53.52,40.76,0.61,0.95,160.48,59.73,42.52,1.02,3.03,264.86,18.747266467407993,RB,53.5,40.86,0.47,0.74,191.26,53.51,40.82,0.57,0.78,178.39,62.51,23.98,277.27,0.7,100.23,2.06,0,C
58.61,10.69,1.74,5.02,274.58,13.863578181696095,WR,51.19,9.97,0.3,4.27,18.36,51.17,10.0,0.69,3.56,25.77,57.61,11.9,2.18,6.33,287.0,13.05700195297527,WR,51.19,9.97,0.3,4.27,18.36,51.17,10.0,0.69,3.56,25.77,58.79,33.17,2.18,7.99,252.58,9.953893710503447,WR,56.04,30.52,1.7,4.8,86.34,55.9,30.67,2.25,4.58,84.41,58.02,41.32,2.11,4.82,262.82,17.941778061273638,TE,53.53,40.69,0.67,1.0,147.29,53.52,40.76,0.61,0.95,160.48,59.63,42.54,1.25,2.51,266.57,18.8044276700994,RB,53.5,40.86,0.47,0.74,191.26,53.51,40.82,0.57,0.78,178.39,62.59,23.97,279.98,0.9,99.92,1.86,0,C
58.41,10.81,2.44,5.55,280.87,13.8194790060986,WR,51.19,9.97,0.3,4.27,18.36,51.17,10.0,0.69,3.56,25.77,57.36,11.9,2.85,6.16,289.28,13.176167879926242,WR,51.19,9.97,0.3,4.27,18.36,51.17,10.0,0.69,3.56,25.77,58.53,33.16,3.0,8.1,254.64,10.105924005255527,WR,55.9,30.67,2.25,4.58,84.41,55.73,30.86,2.74,4.23,80.5,57.76,41.37,2.72,4.65,262.82,18.10417907556153,TE,53.52,40.76,0.61,0.95,160.48,53.53,40.69,0.67,1.0,147.29,59.51,42.56,1.41,1.85,269.75,18.879737815976156,RB,53.5,40.86,0.47,0.74,191.26,53.51,40.82,0.57,0.78,178.39,62.69,23.95,284.75,1.12,97.55,1.73,0,C
58.18,10.96,3.05,5.33,279.27,13.781048581294531,WR,51.19,9.97,0.3,4.27,18.36,51.17,10.0,0.69,3.56,25.77,57.04,11.89,3.49,5.45,294.36,13.36021706410491,WR,51.19,9.97,0.3,4.27,18.36,51.17,10.0,0.69,3.56,25.77,58.19,33.12,3.76,6.86,253.44,10.27700345431488,WR,55.73,30.86,2.74,4.23,80.5,55.9,30.67,2.25,4.58,84.41,57.48,41.43,3.19,4.35,265.46,18.28411879200089,TE,53.52,40.76,0.61,0.95,160.48,53.51,40.82,0.57,0.78,178.39,59.4,42.58,1.29,0.5,264.18,18.949345635140013,RB,53.5,40.86,0.47,0.74,191.26,53.51,40.82,0.57,0.78,178.39,62.81,23.94,287.99,1.3,95.73,1.52,0,C
57.9,11.15,3.59,4.78,283.2,13.737903770226373,WR,51.19,9.97,0.3,4.27,18.36,51.17,10.0,0.69,3.56,25.77,56.64,11.89,4.15,5.05,290.79,13.588657034453403,WR,51.19,9.97,0.3,4.27,18.36,51.17,10.0,0.69,3.56,25.77,57.8,33.06,4.31,5.43,254.11,10.477428119533919,WR,55.53,31.07,3.09,3.48,81.08,55.73,30.86,2.74,4.23,80.5,57.13,41.52,3.75,4.19,268.99,18.524691630361897,TE,53.51,40.82,0.57,0.78,178.39,53.52,40.76,0.61,0.95,160.48,59.29,42.6,1.2,0.31,263.58,19.023443431723923,RB,53.5,40.86,0.47,0.74,191.26,53.51,40.82,0.57,0.78,178.39,62.94,23.93,292.24,1.39,93.53,1.12,0,C
