x_0,y_0,vel_0,accel_0,orientation_0,dist_qb_0,receiver_type_0_WR,receiver_type_0_TE,receiver_type_0_QB,receiver_type_0_RB,receiver_type_0_FB,defensor_x_0_0,defensor_y_0_0,defensor_vel_0_0,defensor_accel_0_0,defensor_orientation_0_0,defensor_x_0_1,defensor_y_0_1,defensor_vel_0_1,defensor_accel_0_1,defensor_orientation_0_1,x_1,y_1,vel_1,accel_1,orientation_1,dist_qb_1,receiver_type_1_WR,receiver_type_1_TE,receiver_type_1_QB,receiver_type_1_RB,receiver_type_1_FB,defensor_x_1_0,defensor_y_1_0,defensor_vel_1_0,defensor_accel_1_0,defensor_orientation_1_0,defensor_x_1_1,defensor_y_1_1,defensor_vel_1_1,defensor_accel_1_1,defensor_orientation_1_1,x_2,y_2,vel_2,accel_2,orientation_2,dist_qb_2,receiver_type_2_WR,receiver_type_2_TE,receiver_type_2_QB,receiver_type_2_RB,receiver_type_2_FB,defensor_x_2_0,defensor_y_2_0,defensor_vel_2_0,defensor_accel_2_0,defensor_orientation_2_0,defensor_x_2_1,defensor_y_2_1,defensor_vel_2_1,defensor_accel_2_1,defensor_orientation_2_1,x_3,y_3,vel_3,accel_3,orientation_3,dist_qb_3,receiver_type_3_WR,receiver_type_3_TE,receiver_type_3_QB,receiver_type_3_RB,receiver_type_3_FB,defensor_x_3_0,defensor_y_3_0,defensor_vel_3_0,defensor_accel_3_0,defensor_orientation_3_0,defensor_x_3_1,defensor_y_3_1,defensor_vel_3_1,defensor_accel_3_1,defensor_orientation_3_1,x_4,y_4,vel_4,accel_4,orientation_4,dist_qb_4,receiver_type_4_WR,receiver_type_4_TE,receiver_type_4_QB,receiver_type_4_RB,receiver_type_4_FB,defensor_x_4_0,defensor_y_4_0,defensor_vel_4_0,defensor_accel_4_0,defensor_orientation_4_0,defensor_x_4_1,defensor_y_4_1,defensor_vel_4_1,defensor_accel_4_1,defensor_orientation_4_1,qb_x,qb_y,qb_orientation,qb_speed,qb_direction,qb_accel,amount_of_players_causing_pressure_on_qb,result
46.13,9.01,0.62,1.37,79.0,15.816004552351396,1,0,0,0,0,52.18,8.54,1.08,6.3,343.0,52.19,8.69,1.8,5.94,349.76,45.72,15.07,0.36,0.9,75.17,9.970722140346707,1,0,0,0,0,48.9,18.93,0.79,0.27,298.72,48.98,18.91,0.76,0.08,300.48,41.51,21.76,0.14,0.15,88.68,2.4366575467225586,0,0,0,1,0,41.73,21.86,0.77,1.5,36.38,41.7,21.93,0.88,1.56,29.68,44.75,35.89,0.63,1.6,86.38,12.093535463213394,1,0,0,0,0,53.1,37.06,4.15,1.24,323.25,53.04,37.47,4.03,1.31,317.91,45.42,44.68,0.23,1.1,82.47,20.82673762258506,0,1,0,0,0,51.79,43.35,0.92,0.93,249.52,51.78,43.26,0.98,0.91,251.9,41.69,24.19,101.49,0.48,271.25,0.96,1.0,1
46.24,9.01,1.18,2.64,78.07,15.864567438162316,1,0,0,0,0,52.18,8.54,1.08,6.3,343.0,52.19,8.69,1.8,5.94,349.76,45.76,15.04,0.57,1.28,75.17,10.038894361432439,1,0,0,0,0,48.9,18.93,0.79,0.27,298.72,48.98,18.91,0.76,0.08,300.48,41.51,21.77,0.07,0.36,90.7,2.4229733799610775,0,0,0,1,0,41.73,21.86,0.77,1.5,36.38,41.7,21.93,0.88,1.56,29.68,44.83,35.92,0.94,2.13,85.3,12.158655353286399,1,0,0,0,0,53.1,37.06,4.15,1.24,323.25,53.04,37.47,4.03,1.31,317.91,45.47,44.68,0.58,1.77,84.77,20.84671916633406,0,1,0,0,0,51.79,43.35,0.92,0.93,249.52,51.78,43.26,0.98,0.91,251.9,41.63,24.19,96.85,0.67,269.02,1.3,1.0,1
46.38,9.01,1.62,3.35,74.64,15.926857819419375,1,0,0,0,0,52.19,8.69,1.8,5.94,349.76,52.18,8.54,1.08,6.3,343.0,45.83,15.0,0.86,1.74,77.32,10.133558111542065,1,0,0,0,0,48.9,18.93,0.79,0.27,298.72,48.98,18.91,0.76,0.08,300.48,41.5,21.75,0.19,1.01,93.91,2.440737593433593,0,0,0,1,0,41.73,21.86,0.77,1.5,36.38,41.7,21.93,0.88,1.56,29.68,44.94,35.96,1.31,2.55,83.89,12.245705369638776,1,0,0,0,0,53.1,37.06,4.15,1.24,323.25,53.04,37.47,4.03,1.31,317.91,45.57,44.68,1.0,2.3,87.78,20.878702066938928,0,1,0,0,0,51.79,43.35,0.92,0.93,249.52,51.78,43.26,0.98,0.91,251.9,41.56,24.19,90.15,0.86,272.22,1.64,1.0,1
46.56,9.01,2.13,3.91,65.8,16.023298661636435,1,0,0,0,0,52.19,8.69,1.8,5.94,349.76,52.18,8.54,1.08,6.3,343.0,45.92,14.95,1.19,2.22,80.56,10.269084671965658,1,0,0,0,0,48.9,18.93,0.79,0.27,298.72,48.98,18.91,0.76,0.08,300.48,41.48,21.71,0.5,1.69,96.26,2.490080319989697,0,0,0,1,0,41.73,21.86,0.77,1.5,36.38,41.7,21.93,0.88,1.56,29.68,45.09,36.01,1.7,2.81,82.14,12.355282271158357,1,0,0,0,0,53.1,37.06,4.15,1.24,323.25,53.04,37.47,4.03,1.31,317.91,45.71,44.67,1.59,3.26,90.94,20.906539646722987,0,1,0,0,0,51.79,43.35,0.92,0.93,249.52,51.78,43.26,0.98,0.91,251.9,41.46,24.2,94.31,1.08,274.8,1.64,1.0,1
46.8,9.0,2.61,3.91,65.8,16.160312496978516,1,0,0,0,0,52.19,8.69,1.8,5.94,349.76,52.18,8.54,1.08,6.3,343.0,46.05,14.88,1.56,2.68,84.81,10.451459228260902,1,0,0,0,0,48.9,18.93,0.79,0.27,298.72,48.98,18.91,0.76,0.08,300.48,41.45,21.64,0.96,2.66,99.82,2.5723530084341073,0,0,0,1,0,41.73,21.86,0.77,1.5,36.38,41.78,21.8,0.74,1.53,35.64,45.29,36.09,2.29,3.63,79.45,12.519460851011118,1,0,0,0,0,53.1,37.06,4.15,1.24,323.25,53.04,37.47,4.03,1.31,317.91,45.89,44.66,2.02,3.43,83.69,20.950059665786153,0,1,0,0,0,51.79,43.35,0.92,0.93,249.52,51.78,43.26,0.98,0.91,251.9,41.34,24.21,94.89,1.28,276.32,1.53,1.0,1
47.09,8.98,3.26,4.47,68.24,16.347923415528957,1,0,0,0,0,52.19,8.69,1.8,5.94,349.76,52.18,8.54,1.08,6.3,343.0,46.2,14.79,1.92,2.89,85.59,10.682396734815647,1,0,0,0,0,48.9,18.93,0.79,0.27,298.72,48.98,18.91,0.76,0.08,300.48,41.39,21.52,1.47,3.52,99.82,2.716652351700527,0,0,0,1,0,41.78,21.8,0.74,1.53,35.64,41.73,21.86,0.77,1.5,36.38,45.53,36.17,2.76,3.9,74.85,12.70088579588054,1,0,0,0,0,53.04,37.47,4.03,1.31,317.91,53.1,37.06,4.15,1.24,323.25,46.14,44.66,2.64,3.85,83.69,21.018765425209917,0,1,0,0,0,51.79,43.35,0.92,0.93,249.52,51.78,43.26,0.98,0.91,251.9,41.2,24.23,94.89,1.5,278.17,1.47,1.0,1
47.44,8.96,3.83,4.58,83.26,16.58463143998081,1,0,0,0,0,52.19,8.69,1.8,5.94,349.76,52.18,8.54,1.08,6.3,343.0,46.38,14.68,2.31,2.95,86.66,10.967770967703514,1,0,0,0,0,51.25,15.33,3.5,0.6,205.96,51.29,14.98,3.46,0.72,207.24,41.33,21.37,1.88,3.7,102.11,2.9045137286644045,0,0,0,1,0,41.78,21.8,0.74,1.53,35.64,41.73,21.86,0.77,1.5,36.38,45.81,36.28,3.19,3.62,69.23,12.931871480957428,1,0,0,0,0,53.04,37.47,4.03,1.31,317.91,53.1,37.06,4.15,1.24,323.25,46.43,44.67,3.17,3.98,87.66,21.109718141178483,0,1,0,0,0,51.79,43.35,0.92,0.93,249.52,51.82,43.43,0.82,1.09,247.24,41.04,24.26,92.78,1.65,279.58,1.22,1.0,1
47.85,8.93,4.39,4.48,94.45,16.86247016305737,1,0,0,0,0,52.19,8.69,1.8,5.94,349.76,52.18,8.54,1.08,6.3,343.0,46.61,14.56,2.71,2.93,91.43,11.288312539968054,1,0,0,0,0,51.29,14.98,3.46,0.72,207.24,51.25,15.33,3.5,0.6,205.96,41.24,21.17,2.35,3.59,104.14,3.131932310890515,0,0,0,1,0,41.78,21.8,0.74,1.53,35.64,41.73,21.86,0.77,1.5,36.38,46.12,36.4,3.6,3.29,67.41,13.2082133538189,1,0,0,0,0,53.04,37.47,4.03,1.31,317.91,53.1,37.06,4.15,1.24,323.25,46.79,44.68,3.78,4.14,87.66,21.241619523944024,0,1,0,0,0,51.79,43.35,0.92,0.93,249.52,51.82,43.43,0.82,1.09,247.24,40.87,24.28,98.52,1.82,278.77,1.09,1.0,1
48.32,8.9,4.97,4.26,96.62,17.19993313940493,1,0,0,0,0,52.19,8.69,1.8,5.94,349.76,52.18,8.54,1.08,6.3,343.0,46.86,14.42,3.06,2.78,92.32,11.662096724002934,1,0,0,0,0,51.29,14.98,3.46,0.72,207.24,51.25,15.33,3.5,0.6,205.96,41.13,20.91,3.01,3.95,108.06,3.429650127928502,0,0,0,1,0,41.78,21.8,0.74,1.53,35.64,41.73,21.86,0.77,1.5,36.38,46.48,36.55,4.02,3.11,68.39,13.544652081172108,1,0,0,0,0,53.04,37.47,4.03,1.31,317.91,52.98,37.86,3.93,1.32,312.74,47.2,44.7,4.3,4.07,82.61,21.407066590264073,0,1,0,0,0,51.79,43.35,0.92,0.93,249.52,51.82,43.43,0.82,1.09,247.24,40.68,24.31,102.85,1.94,278.23,0.93,1.0,1
48.84,8.86,5.5,4.01,98.17,17.58438227518954,1,0,0,0,0,52.19,8.69,1.8,5.94,349.76,52.18,8.54,1.08,6.3,343.0,47.15,14.28,3.36,2.56,93.81,12.061981595077983,1,0,0,0,0,51.29,14.98,3.46,0.72,207.24,51.34,14.64,3.44,0.74,208.59,41.02,20.59,3.54,3.88,115.11,3.778782872830879,0,0,0,1,0,41.78,21.8,0.74,1.53,35.64,41.87,21.77,0.8,1.57,40.39,46.86,36.71,4.33,2.67,67.52,13.927268217421538,1,0,0,0,0,53.04,37.47,4.03,1.31,317.91,52.98,37.86,3.93,1.32,312.74,47.66,44.74,4.77,3.6,79.58,21.636092530769044,0,1,0,0,0,51.79,43.35,0.92,0.93,249.52,51.82,43.43,0.82,1.09,247.24,40.48,24.33,107.45,2.03,277.94,0.69,1.0,1
